Flow rate (ft^3/min),Ps Static Pressure (lbf/in^2),Flow rate (m^3/s),Ps Static Pressure (Pa)
0.0,0.003129136,0.0,21.574632339951997
12.59,0.002986902,0.0059418182696,20.593963472814
13.79,0.002844669,0.0065081551976,19.613301500433
16.25,0.002702435,0.0076691458999999995,18.632632633295
18.67,0.002560202,0.0088112587048,17.651970660914
20.3,0.002417968,0.009580533032,16.671301793776
20.56,0.002275735,0.0097032393664,15.690639821395
20.81,0.002133502,0.0098212262264,14.709977849013997
22.99,0.001991268,0.0108500716456,13.729308981875999
26.01,0.001849035,0.0122753529144,12.748647009494999
28.52,0.001706801,0.0134599409888,11.767978142356998
30.67,0.001564568,0.0144746279848,10.787316169975998
33.31,0.001422334,0.0157205692264,9.806647302837998
34.71,0.001280101,0.0163812956424,8.825985330457
37.49,0.001137867,0.017693309525600002,7.8453164633190005
39.55,0.000995634,0.018665521251999998,6.864654490937999
41.76,0.000853401,0.0197085250944,5.883992518557
44.57,0.000711167,0.0210346974008,4.903323651418999
47.89,0.000568934,0.022601562901599998,3.922661679038
49.94,0.0004267,0.0235690551536,2.9419928119
51.91,0.000284467,0.024498791610399997,1.961330839519
54.2,0.000142233,0.025579551248,0.9806619723809998
56.3,0.0,0.026570640872,0.0
